Feature,AvgGain,NumModels
Rank_POM_diff,13621.547052556818,22
Rank_MOR_diff,11606.779119318182,22
bt_diff,11111.292902766047,37
quality_diff,8666.64915012669,37
Seed_diff,4211.370189769848,37
Rank_DOL_diff,3449.5424638227983,22
Rank_COL_diff,2099.822121360085,22
Rank_RPI_diff,1537.0526705655184,22
T1_Rank_SAG,1281.553633256392,22
T2_Rank_SAG,1266.5153669877486,22
T1_Rank_MOR,1181.8035250577059,22
T1_seed,1155.533148688239,37
T2_Rank_MOR,1132.6573597301137,22
T1_quality,1100.3515740471917,37
Rank_SAG_diff,1090.0447359952059,22
T2_seed,1068.2304192620354,37
T2_Rank_DOL,1066.218633478338,22
T1_Rank_POM,1047.5098987926137,22
T2_Rank_POM,1043.5603166060014,22
T1_Rank_DOL,1039.3425376198509,22
T2_bt,1032.0121938344594,37
elo_diff,1029.3578491210938,37
T2_quality,1027.4367692277237,37
T1_bt,1009.5239587732264,37
T1_Rank_COL,985.9155328924006,22
T2_Rank_COL,949.6510703346946,22
T2_Rank_RPI,908.937705300071,22
T1_Rank_RPI,890.0813903808594,22
T1_avg_PointDiff,884.6257340714739,37
T2_avg_PointDiff,881.21255575644,37
T1_avg_Score,868.444317791913,37
T2_avg_Score,865.6988937790329,37
T1_avg_FGA,854.7647078230574,37
T2_avg_FGA,851.2915599926098,37
T1_avg_opponent_PF,839.82958984375,37
T2_avg_opponent_PF,834.3934029244087,37
T2_elo,834.0313456767315,37
T1_elo,826.693865801837,37
T1_weighted_wins,823.3594805743244,37
T2_weighted_wins,822.7203451620566,37
T1_avg_opponent_Score,818.4781923036318,37
T2_avg_opponent_Score,814.8869298986486,37
T2_avg_PF,813.3401093354096,37
T1_avg_PF,809.7169370908995,37
T2_avg_opponent_FGA,808.5332427153717,37
T2_WinPct,807.5362581820101,37
T1_WinPct,807.0792698215794,37
T1_avg_opponent_FGA,799.1426968961149,37
T2_WinRatio14d,790.2610704576647,37
T1_WinRatio14d,788.8251012853674,37
T1_avg_opponent_Blk,784.5279870935389,37
T2_avg_opponent_Blk,779.7296686945734,37
T2_avg_Blk,779.0095297323691,37
T1_avg_Blk,775.5460732949747,37
T2_avg_Home,745.8462474926098,37
T1_avg_Home,740.2288653399494,37
